,Density,Eddy_Viscosity,Energy,Heat_Flux,Laminar_Viscosity,Mach,Momentum:0,Momentum:1,Momentum:2,Omega,Pressure,Pressure_Coefficient,Skin_Friction_Coefficient:0,Skin_Friction_Coefficient:1,Skin_Friction_Coefficient:2,Temperature,Turb_Kin_Energy,Y_Plus,vtkValidPointMask,arc_length,Points:0,Points:1,Points:2,Ptot,Z
64,6.5741,0.0001777,1706300.0,0,1.9125e-05,0.63338,1505.1,-1.2484,0,284420.0,613570.0,-332920.0,0,0,0,314.24,7.6879,0,,0.0046784,-0.0034216,0,0,804153.3546249663,0.999612421964448
65,6.5225,0.00017715,1694800.0,0,1.908e-05,0.64671,1522.3,-1.2001,0,283500.0,606830.0,-344950.0,0,0,0,313.25,7.7001,0,,0.0047515,-0.0033485,0,0,804126.5995072328,0.9995752479628852
66,6.4695,0.00017654,1683000.0,0,1.9032e-05,0.66024,1539.0,-1.1405,0,282730.0,599940.0,-357240.0,0,0,0,312.23,7.7152,0,,0.0048246,-0.0032754,0,0,804097.1808845318,0.9995372870898008
67,6.4152,0.00017589,1670800.0,0,1.8984e-05,0.674,1555.3,-1.1073,0,281920.0,592900.0,-369820.0,0,0,0,311.18,7.7298,0,,0.0048977,-0.0032023,0,0,804058.6039156275,0.9994985726488396
68,6.3601,0.00017528,1658500.0,0,1.8933e-05,0.68788,1571.0,-1.0558,0,280920.0,585760.0,-382560.0,0,0,0,310.1,7.742,0,,0.0049708,-0.0031292,0,0,804073.3602743838,0.9994591002160808
69,6.3029,0.00017451,1645600.0,0,1.8881e-05,0.70202,1586.0,-1.0138,0,280140.0,578400.0,-395710.0,0,0,0,308.98,7.756,0,,0.0050439,-0.0030561,0,0,804059.75838162,0.9994185839484114
70,6.2453,0.00017371,1632600.0,0,1.8828e-05,0.71623,1600.3,-0.97185,0,279410.0,571010.0,-408900.0,0,0,0,307.85,7.7718,0,,0.005117,-0.002983,0,0,804001.1444561618,0.9993781512420722
71,6.1863,0.00017287,1619400.0,0,1.8774e-05,0.73067,1614.1,-0.91945,0,278700.0,563490.0,-422340.0,0,0,0,306.69,7.7877,0,,0.0051901,-0.0029099,0,0,803934.4970333931,0.9993370870048985
72,6.1266,0.00017198,1605900.0,0,1.8718e-05,0.74523,1627.3,-0.8731,0,277990.0,555890.0,-435910.0,0,0,0,305.5,7.8033,0,,0.0052632,-0.0028368,0,0,803925.1980266548,0.9992953742139848
73,6.0661,0.00017104,1592200.0,0,1.8661e-05,0.75991,1639.7,-0.82726,0,277300.0,548220.0,-449610.0,0,0,0,304.29,7.8186,0,,0.0053363,-0.0027637,0,0,803889.578109217,0.9992534522169082
74,6.0048,0.00017005,1578300.0,0,1.8603e-05,0.77473,1651.4,-0.78039,0,276620.0,540480.0,-463430.0,0,0,0,303.05,7.8338,0,,0.0054094,-0.0026906,0,0,803915.1819257298,0.9992109287511279
75,5.9428,0.00016902,1564200.0,0,1.8544e-05,0.78967,1662.4,-0.73258,0,275960.0,532670.0,-477370.0,0,0,0,301.79,7.8488,0,,0.0054825,-0.0026175,0,0,803902.6669362992,0.9991682592637219
