,Density,Energy,Mach,Momentum:0,Momentum:1,Momentum:2,Pressure,Pressure_Coefficient,Temperature,vtkValidPointMask,arc_length,Points:0,Points:1,Points:2,pt,pi,s,ht,Z
832,0.79111,216370.0,1.1563,305.25,0.79261,0,62986.0,-5.3414e+17,268.02,,60.819,52.719,0,0,144392.97302273542,143858.10539452202,6865.798474848877,352461.1820882933,0.9996746728640756
833,0.78356,214540.0,1.1658,304.24,0.78725,0,62184.0,-5.4553e+17,267.13,,60.892,52.792,0,0,144298.52654702752,143670.90674210546,6866.147737511724,352513.8516447877,0.9996714823754055
834,0.77601,212720.0,1.1753,303.22,0.7819,0,61382.0,-5.5692e+17,266.24,,60.965,52.865,0,0,144188.3345966257,143459.1107314866,6866.534924904892,352568.3586509474,0.9996683833758838
835,0.76845,210900.0,1.1848,302.21,0.77654,0,60580.0,-5.6831e+17,265.36,,61.038,52.938,0,0,144061.69526892822,143221.87243641738,6867.00047536032,352637.9301106932,0.9996654610119281
836,0.7609,209070.0,1.1943,301.2,0.77118,0,59778.0,-5.7969e+17,264.47,,61.112,53.012,0,0,143917.89363989,142958.36568668653,6867.46736180502,352695.8596561534,0.9996625519567515
837,0.75335,207250.0,1.2037,300.19,0.76582,0,58976.0,-5.9108e+17,263.58,,61.185,53.085,0,0,143737.4118621258,142650.55302250394,6867.975997157305,352742.1423493831,0.9996597414363761
838,0.74776,205880.0,1.2106,299.26,0.76351,0,58396.0,-5.9931e+17,262.93,,61.258,53.158,0,0,143614.43979541748,142428.21256868658,6868.345465966624,352781.3780303058,0.9996577189896814
839,0.74249,204580.0,1.217,298.35,0.76171,0,57854.0,-6.0702e+17,262.32,,61.331,53.231,0,0,143481.43553522415,142198.7582034615,6868.701226782402,352808.8260471574,0.9996558562119854
840,0.73723,203290.0,1.2235,297.43,0.75991,0,57311.0,-6.1473e+17,261.7,,61.404,53.304,0,0,143355.80178520823,141970.6948747973,6869.042888268823,352836.5847731409,0.9996539643679667
841,0.73196,201990.0,1.2299,296.52,0.75811,0,56768.0,-6.2243e+17,261.09,,61.477,53.377,0,0,143201.9935503999,141712.0016421169,6869.4452596058145,352865.0551119922,0.9996522041506308
842,0.7267,200690.0,1.2363,295.6,0.75631,0,56226.0,-6.3014e+17,260.48,,61.55,53.45,0,0,143041.16987202884,141442.09321698177,6869.863869795493,352893.98292810225,0.9996504873280879
843,0.72144,199400.0,1.2428,294.69,0.75451,0,55683.0,-6.3785e+17,259.87,,61.623,53.523,0,0,142887.00291920363,141172.65190442975,6870.309744849253,352936.76297207095,0.9996488270529288
844,0.71814,198600.0,1.2472,294.17,0.81535,0,55339.0,-6.4274e+17,259.45,,61.696,53.596,0,0,142837.82958759044,141042.2396975402,6870.469284335274,352956.2769058744,0.9996475239076884
845,0.71607,198110.0,1.2504,293.9,0.91547,0,55119.0,-6.4586e+17,259.16,,61.77,53.669,0,0,142877.84340050802,141020.87031969335,6870.490003302458,352991.60823246714,0.9996465241539435
846,0.714,197630.0,1.2536,293.63,1.0156,0,54899.0,-6.4898e+17,258.88,,61.843,53.743,0,0,142916.4060922654,140996.89465261143,6870.554351330644,353040.7538686118,0.999645615764099
847,0.71194,197140.0,1.2567,293.36,1.1157,0,54679.0,-6.5211e+17,258.59,,61.916,53.816,0,0,142934.38303613098,140953.43479534556,6870.5820205327655,353062.8719273156,0.9996446330681689
848,0.70987,196650.0,1.2599,293.09,1.2159,0,54459.0,-6.5523e+17,258.3,,61.989,53.889,0,0,142969.94476167255,140924.1924565266,6870.613195556031,353098.6074847618,0.9996436589902457
849,0.7078,196170.0,1.2631,292.82,1.316,0,54239.0,-6.5835e+17,258.01,,62.062,53.962,0,0,143003.98552340484,140892.2741336096,6870.647912390137,353134.4713410842,0.9996426936037319
850,0.70638,195840.0,1.2656,292.67,1.4074,0,54081.0,-6.6059e+17,257.78,,62.135,54.035,0,0,143066.22031720582,140901.61959618196,6870.587354315849,353157.8174953604,0.9996418252768711
851,0.70624,195820.0,1.2665,292.78,1.481,0,54051.0,-6.6102e+17,257.69,,62.208,54.108,0,0,143159.66431479057,140974.75666127488,6870.388996609328,353156.2717243657,0.9996412759665554
852,0.7061,195800.0,1.2675,292.9,1.5547,0,54021.0,-6.6145e+17,257.59,,62.281,54.181,0,0,143272.4274310071,141064.68323514116,6870.150210564419,353154.5468950591,0.9996406432540702
853,0.70596,195780.0,1.2685,293.01,1.6284,0,53990.0,-6.6188e+17,257.5,,62.354,54.254,0,0,143382.6562020418,141151.9692710242,6869.957275554156,353166.5794726595,0.9996401001044459
854,0.70582,195770.0,1.2694,293.12,1.702,0,53960.0,-6.6232e+17,257.4,,62.427,54.327,0,0,143476.3760869208,141225.00268047422,6869.718378339528,353151.28457008954,0.9996394667656289
855,0.70569,195750.0,1.2704,293.23,1.7757,0,53929.0,-6.6275e+17,257.31,,62.501,54.401,0,0,143586.81622168928,141312.221522564,6869.525368194943,353163.32980134635,0.999638923169517
856,0.70558,195740.0,1.2713,293.34,1.8427,0,53903.0,-6.6312e+17,257.22,,62.574,54.474,0,0,143691.3772029364,141395.67622153842,6869.304747411558,353161.7842754406,0.9996383459232497
857,0.70617,195870.0,1.2703,293.41,1.7728,0,53965.0,-6.6224e+17,257.3,,62.647,54.547,0,0,143663.37403870124,141389.7216142288,6869.286512097687,353135.88739285286,0.9996385992225414
858,0.70676,196000.0,1.2693,293.48,1.7029,0,54027.0,-6.6136e+17,257.38,,62.72,54.62,0,0,143635.26438210503,141383.54112635378,6869.268568724498,353110.0130253654,0.9996388532312845
859,0.70735,196140.0,1.2684,293.55,1.633,0,54089.0,-6.6048e+17,257.46,,62.793,54.693,0,0,143626.3422244047,141393.9972233279,6869.250916455164,353097.7310029651,0.9996391079478385
860,0.70794,196270.0,1.2674,293.62,1.5631,0,54151.0,-6.596e+17,257.54,,62.866,54.766,0,0,143598.00983281765,141387.3700204167,6869.233554455888,353071.8954880037,0.9996393633705662
861,0.70853,196400.0,1.2665,293.69,1.4933,0,54213.0,-6.5872e+17,257.62,,62.939,54.839,0,0,143588.84629188935,141397.388448479,6869.216481895885,353059.64062235027,0.999639619497834
862,0.70913,196530.0,1.2655,293.75,1.4234,0,54275.0,-6.5784e+17,257.7,,63.012,54.912,0,0,143560.29352946233,141390.31693639333,6869.199697947389,353033.84433129703,0.9996398763280113
863,0.71134,197030.0,1.262,294.0,1.2731,0,54509.0,-6.5452e+17,258.0,,63.085,54.985,0,0,143504.31381364047,141407.92864014555,6869.131132219122,352971.13198986056,0.9996408358139094
864,0.71419,197670.0,1.2574,294.32,1.0918,0,54808.0,-6.5026e+17,258.38,,63.158,55.058,0,0,143405.86324296542,141404.36781345186,6869.036019119127,352869.4930417085,0.999642048444956
865,0.71704,198310.0,1.2529,294.63,0.91053,0,55108.0,-6.4601e+17,258.76,,63.231,55.132,0,0,143326.61881744655,141415.30521130073,6868.942110544666,352781.7697943882,0.9996432706521764
866,0.71989,198950.0,1.2484,294.95,0.72924,0,55408.0,-6.4175e+17,259.13,,63.305,55.205,0,0,143244.7830204392,141421.32254233406,6868.8146172999805,352680.796694261,0.9996444255090805
867,0.72274,199580.0,1.2438,295.26,0.54796,0,55707.0,-6.375e+17,259.51,,63.378,55.278,0,0,143138.80882653227,141402.9890844625,6868.739155081291,352580.49165851425,0.9996456858709878
868,0.72559,200220.0,1.2393,295.58,0.36667,0,56007.0,-6.3324e+17,259.89,,63.451,55.351,0,0,143052.03464416275,141399.35693255084,6868.664720468104,352494.0440435754,0.9996469554608509
869,0.7298,201210.0,1.2327,296.02,0.22407,0,56468.0,-6.267e+17,260.5,,63.524,55.424,0,0,142973.60375833782,141438.11005341433,6868.666731815438,352439.42894525157,0.9996491532672298
870,0.73608,202730.0,1.2229,296.67,0.14036,0,57173.0,-6.1669e+17,261.46,,63.597,55.497,0,0,142897.48717218335,141526.52966413542,6868.80501681108,352432.7081491317,0.9996528078617799
871,0.74237,204260.0,1.2132,297.32,0.056666,0,57878.0,-6.0667e+17,262.43,,63.67,55.57,0,0,142826.38554146484,141607.7533173372,6869.014158168454,352453.5665711403,0.9996566248672593
872,0.74865,205780.0,1.2035,297.96,-0.027037,0,58584.0,-5.9665e+17,263.39,,63.743,55.643,0,0,142744.4728304419,141667.93561608766,6869.208640583972,352461.78519148147,0.9996604305025985
873,0.75494,207300.0,1.1937,298.61,-0.11074,0,59289.0,-5.8663e+17,264.36,,63.816,55.716,0,0,142628.93081893265,141685.82083084603,6869.476883166546,352471.2548894136,0.9996643995178195
874,0.76122,208820.0,1.184,299.25,-0.19444,0,59995.0,-5.7662e+17,265.32,,63.889,55.789,0,0,142522.43245836007,141701.20756305743,6869.729006379522,352481.5815271253,0.9996683534533387
875,0.76764,210370.0,1.1741,299.91,-0.28124,0,60714.0,-5.664e+17,266.3,,63.963,55.862,0,0,142398.30357708078,141691.3677323708,6870.023186679882,352493.6553104118,0.9996724722896312
876,0.77937,213260.0,1.1584,301.18,-0.49823,0,62020.0,-5.4785e+17,267.89,,64.036,55.936,0,0,142559.91530869753,142012.2648612898,6869.889489309689,352562.6237397486,0.9996785856242503
877,0.79109,216150.0,1.1427,302.45,-0.71523,0,63326.0,-5.2931e+17,269.47,,64.109,56.009,0,0,142680.75266826997,142268.87472723596,6869.8124488604635,352621.9065259725,0.9996848544935767
878,0.80282,219030.0,1.127,303.71,-0.93221,0,64632.0,-5.1076e+17,271.05,,64.182,56.082,0,0,142763.77640706257,142465.1088211627,6869.826185819873,352685.2619728507,0.999691350107635
879,0.81765,222690.0,1.1077,304.94,-0.90062,0,66321.0,-4.8678e+17,273.03,,64.255,56.155,0,0,142998.37968316843,142809.52710463508,6869.729588334983,352818.1171587467,0.9996995583918803
