"Mach","Pressure","Temperature","p","u","x","Points:0","Points:1","Points:2"
0.20955,1.5662e+05,333.97,0.19494,78.087,2.2626,14.707,0,0
0.2098,1.5656e+05,333.93,0.19486,78.176,2.2739,14.78,0,0
0.21032,1.5649e+05,333.89,0.19478,78.366,2.2851,14.853,0,0
0.21093,1.5641e+05,333.84,0.19468,78.588,2.2964,14.926,0,0
0.21193,1.5632e+05,333.78,0.19456,78.954,2.3076,15,0,0
0.21294,1.5622e+05,333.72,0.19444,79.319,2.3189,15.073,0,0
0.21435,1.561e+05,333.64,0.1943,79.838,2.3301,15.146,0,0
0.21585,1.5598e+05,333.56,0.19414,80.387,2.3414,15.219,0,0
0.21763,1.5584e+05,333.46,0.19397,81.037,2.3526,15.292,0,0
0.21971,1.5567e+05,333.34,0.19376,81.795,2.3639,15.365,0,0
0.22187,1.5551e+05,333.23,0.19355,82.587,2.3751,15.438,0,0
0.22464,1.5532e+05,333.11,0.19332,83.602,2.3864,15.511,0,0
0.22741,1.5512e+05,332.98,0.19308,84.618,2.3976,15.584,0,0
0.23079,1.5488e+05,332.84,0.19278,85.857,2.4088,15.657,0,0
0.23447,1.5462e+05,332.69,0.19245,87.207,2.4201,15.731,0,0
0.23823,1.5435e+05,332.53,0.19212,88.583,2.4313,15.804,0,0
0.24295,1.5405e+05,332.38,0.19173,90.316,2.4426,15.877,0,0
0.24766,1.5374e+05,332.22,0.19135,92.049,2.4538,15.95,0,0
0.25301,1.5335e+05,332.02,0.19087,94.006,2.4651,16.023,0,0
0.25907,1.5287e+05,331.75,0.19027,96.218,2.4763,16.096,0,0
0.26513,1.5239e+05,331.49,0.18968,98.43,2.4876,16.169,0,0
0.27239,1.5189e+05,331.26,0.18905,101.09,2.4988,16.242,0,0
0.27983,1.5138e+05,331.02,0.18842,103.82,2.5101,16.315,0,0
0.2875,1.5083e+05,330.76,0.18774,106.62,2.5213,16.389,0,0
0.29664,1.5003e+05,330.3,0.18674,109.93,2.5326,16.462,0,0
0.30578,1.4923e+05,329.83,0.18574,113.24,2.5438,16.535,0,0
0.31535,1.4844e+05,329.4,0.18475,116.71,2.555,16.608,0,0
0.32603,1.4767e+05,329.05,0.1838,120.59,2.5663,16.681,0,0
0.33672,1.469e+05,328.7,0.18284,124.48,2.5775,16.754,0,0
0.34835,1.4593e+05,328.2,0.18164,128.68,2.5888,16.827,0,0
0.36125,1.447e+05,327.48,0.1801,133.29,2.6,16.9,0,0
0.37415,1.4346e+05,326.77,0.17856,137.91,2.6113,16.973,0,0
0.38786,1.4232e+05,326.22,0.17714,142.84,2.6225,17.046,0,0
0.40216,1.4123e+05,325.78,0.17579,148,2.6338,17.119,0,0
0.41645,1.4015e+05,325.34,0.17444,153.17,2.645,17.193,0,0
0.43155,1.3881e+05,324.67,0.17278,158.55,2.6563,17.266,0,0
