"Mach","p","tp","x","Points:0","Points:1","Points:2"
0.89158,0.10981,0.18467,3.2073,20.848,0,0
0.9093,0.10757,0.18445,3.2186,20.921,0,0
0.92673,0.1054,0.18421,3.2298,20.994,0,0
0.9439,0.10329,0.18398,3.2411,21.067,0,0
0.96107,0.10118,0.18374,3.2523,21.14,0,0
0.97824,0.099075,0.18351,3.2636,21.213,0,0
0.99527,0.097,0.18327,3.2748,21.286,0,0
1.0117,0.095062,0.18303,3.286,21.359,0,0
1.0281,0.093124,0.18279,3.2973,21.432,0,0
1.0445,0.091185,0.18255,3.3085,21.505,0,0
1.061,0.089247,0.18231,3.3198,21.579,0,0
1.0768,0.087456,0.18208,3.331,21.652,0,0
1.0923,0.085718,0.18185,3.3423,21.725,0,0
1.1079,0.083981,0.18163,3.3535,21.798,0,0
1.1234,0.082244,0.18141,3.3648,21.871,0,0
1.1388,0.080533,0.18118,3.376,21.944,0,0
1.1534,0.078991,0.18096,3.3873,22.017,0,0
1.168,0.077448,0.18074,3.3985,22.09,0,0
1.1826,0.075905,0.18052,3.4098,22.163,0,0
1.1972,0.074362,0.1803,3.421,22.236,0,0
1.2112,0.07293,0.18009,3.4322,22.31,0,0
1.2244,0.071616,0.17989,3.4435,22.383,0,0
1.2377,0.070303,0.17969,3.4547,22.456,0,0
1.2509,0.06899,0.17949,3.466,22.529,0,0
1.2642,0.067677,0.17929,3.4772,22.602,0,0
1.2763,0.066514,0.1791,3.4885,22.675,0,0
1.2879,0.065436,0.17892,3.4997,22.748,0,0
1.2994,0.064357,0.17874,3.511,22.821,0,0
1.311,0.063279,0.17856,3.5222,22.894,0,0
1.3225,0.0622,0.17837,3.5335,22.968,0,0
1.3324,0.061323,0.17823,3.5447,23.041,0,0
1.3416,0.06051,0.1781,3.556,23.114,0,0
1.3509,0.059698,0.17796,3.5672,23.187,0,0
1.3602,0.058886,0.17783,3.5784,23.26,0,0
1.3694,0.058074,0.1777,3.5897,23.333,0,0
1.377,0.057405,0.17753,3.6009,23.406,0,0
1.3838,0.056808,0.17733,3.6122,23.479,0,0
1.3906,0.056211,0.17714,3.6234,23.552,0,0
1.3974,0.055614,0.17694,3.6347,23.625,0,0
1.4042,0.055017,0.17675,3.6459,23.698,0,0
1.4098,0.054591,0.17681,3.6572,23.772,0,0
1.4145,0.054318,0.17709,3.6684,23.845,0,0
1.4192,0.054044,0.17737,3.6797,23.918,0,0
1.4239,0.053771,0.17765,3.6909,23.991,0,0
1.4286,0.053497,0.17793,3.7022,24.064,0,0
1.4326,0.053274,0.17819,3.7134,24.137,0,0
1.4334,0.053261,0.17837,3.7246,24.21,0,0
1.4343,0.053248,0.17855,3.7359,24.283,0,0
1.4352,0.053235,0.17872,3.7471,24.356,0,0
1.436,0.053222,0.1789,3.7584,24.43,0,0
1.4369,0.053209,0.17908,3.7696,24.503,0,0
1.4387,0.053302,0.17985,3.7809,24.576,0,0
1.4407,0.053425,0.18079,3.7921,24.649,0,0
1.4427,0.053548,0.18174,3.8034,24.722,0,0
1.4448,0.053671,0.18268,3.8146,24.795,0,0
1.4468,0.053794,0.18362,3.8259,24.868,0,0
1.4452,0.054126,0.1843,3.8371,24.941,0,0
1.4287,0.055322,0.18388,3.8484,25.014,0,0
1.4123,0.056519,0.18346,3.8596,25.087,0,0
1.3958,0.057716,0.18304,3.8708,25.16,0,0
1.3793,0.058912,0.18262,3.8821,25.234,0,0
1.3628,0.060109,0.1822,3.8933,25.307,0,0
1.341,0.06189,0.18186,3.9046,25.38,0,0
1.3136,0.064294,0.18161,3.9158,25.453,0,0
1.2861,0.066697,0.18137,3.9271,25.526,0,0
1.2586,0.069101,0.18112,3.9383,25.599,0,0
1.2311,0.071505,0.18087,3.9496,25.672,0,0
1.2037,0.073908,0.18062,3.9608,25.745,0,0
1.1727,0.077,0.18058,3.9721,25.818,0,0
1.14,0.080457,0.18064,3.9833,25.892,0,0
1.1072,0.083915,0.18071,3.9946,25.965,0,0
1.0745,0.087373,0.18077,4.0058,26.038,0,0
1.0417,0.090831,0.18083,4.017,26.111,0,0
1.009,0.094289,0.18089,4.0283,26.184,0,0
0.98162,0.097339,0.18096,4.0395,26.257,0,0
0.95746,0.10015,0.18103,4.0508,26.33,0,0
0.93331,0.10296,0.1811,4.062,26.403,0,0
0.90915,0.10577,0.18116,4.0733,26.476,0,0
0.88499,0.10857,0.18123,4.0845,26.549,0,0
0.86083,0.11138,0.1813,4.0958,26.622,0,0
0.84014,0.11383,0.18138,4.107,26.696,0,0
0.82268,0.11595,0.18147,4.1183,26.769,0,0
0.80521,0.11807,0.18157,4.1295,26.842,0,0
0.78774,0.12018,0.18166,4.1408,26.915,0,0
0.77027,0.1223,0.18175,4.152,26.988,0,0
