,Density,Energy,Mach,Momentum:0,Momentum:1,Momentum:2,Pressure,Pressure_Coefficient,Temperature,vtkValidPointMask,arc_length,Points:0,Points:1,Points:2,s,Z
135,1.9345,572680.0,1.9542,1070.0,3.0998,0,110700.0,1.4348e+17,192.68,,9.8685,1.7685,0,0,3710.3402335962464,0.9999673035081198
136,1.8748,556470.0,1.9847,1046.1,3.2694,0,105850.0,7.455e+16,190.09,,9.9416,1.8416,0,0,3709.601910673187,1.0000465075572784
137,1.836,545740.0,2.0034,1029.6,3.7821,0,102810.0,3.1379e+16,188.51,,10.015,1.9147,0,0,3709.6156392071307,1.0001654303390346
138,1.8021,536350.0,2.0192,1015.1,4.1132,0,100180.0,-5980400000000000.0,187.17,,10.088,1.9878,0,0,3709.853903874173,1.0000217620128045
139,1.7929,533500.0,2.0208,1010.2,3.5507,0,99562.0,-1.4736e+16,186.98,,10.161,2.0609,0,0,3710.6199090789883,0.9999676265075897
140,1.7836,530640.0,2.0224,1005.2,2.9883,0,98946.0,-2.3492e+16,186.78,,10.234,2.134,0,0,3711.369867608526,1.0000321400178485
141,1.7744,527790.0,2.024,1000.3,2.4258,0,98329.0,-3.2248e+16,186.59,,10.307,2.2071,0,0,3712.150105312452,0.9999661056348275
142,1.7679,525760.0,2.0253,996.87,1.875,0,97883.0,-3.8583e+16,186.42,,10.38,2.2802,0,0,3712.5632847756483,1.0000014338976253
143,1.7685,525720.0,2.0257,997.1,1.3528,0,97855.0,-3.8976e+16,186.3,,10.453,2.3533,0,0,3711.984397413572,1.0000199242639143
144,1.7691,525690.0,2.0261,997.33,0.83065,0,97828.0,-3.9369e+16,186.19,,10.526,2.4264,0,0,3711.4451158685097,0.9999953744234078
145,1.7697,525660.0,2.0266,997.56,0.30848,0,97800.0,-3.9761e+16,186.08,,10.599,2.4995,0,0,3710.905609325573,0.9999609885158203
146,1.7727,526340.0,2.0254,998.78,-0.35858,0,97989.0,-3.7084e+16,186.11,,10.673,2.5726,0,0,3710.522257354068,1.0000366635307372
147,1.7793,528040.0,2.0218,1001.4,-1.2342,0,98488.0,-2.9987e+16,186.37,,10.746,2.6457,0,0,3710.4551057576323,1.000003879909051
148,1.7914,531250.0,2.0154,1006.4,-2.1808,0,99427.0,-1.6652e+16,186.87,,10.819,2.7188,0,0,3710.431553234607,1.0000362223988422
149,1.8098,536240.0,2.0055,1013.9,-3.2113,0,100890.0,4061600000000000.0,187.68,,10.892,2.7919,0,0,3710.607997237422,1.000099232682901
150,1.8379,543840.0,1.9909,1025.4,-3.9982,0,103110.0,3.5694e+16,188.89,,10.965,2.865,0,0,3710.803676219649,1.0000310696589219
151,1.8844,556440.0,1.9672,1044.2,-4.4677,0,106840.0,8.8612e+16,190.88,,11.038,2.9381,0,0,3711.1643696249894,1.000101107338845
152,1.9507,574390.0,1.9342,1070.7,-4.3786,0,112220.0,1.6494e+17,193.69,,11.111,3.0112,0,0,3711.745345161137,1.0000371458192545
153,2.0362,597520.0,1.8947,1104.3,-4.0843,0,119220.0,2.644e+17,197.1,,11.184,3.0843,0,0,3711.9632347826014,1.0001971455522158
154,2.1171,619250.0,1.8583,1135.2,-3.5632,0,125960.0,3.6006e+17,200.29,,11.257,3.1574,0,0,3712.312463237759,1.0001740075439196
155,2.1933,639650.0,1.825,1163.5,-3.0727,0,132410.0,4.5176e+17,203.25,,11.33,3.2305,0,0,3712.703329789114,1.0000823055048524
156,2.2627,658160.0,1.7959,1188.8,-2.6088,0,138350.0,5.3609e+17,205.85,,11.404,3.3036,0,0,3712.8892422791982,1.0001033130577401
157,2.3221,673960.0,1.772,1210.1,-2.3204,0,143470.0,6.0878e+17,208.02,,11.477,3.3767,0,0,3712.9792462216624,1.000042917615175
158,2.3656,685270.0,1.7535,1224.7,-1.8109,0,147300.0,6.6315e+17,209.65,,11.55,3.4498,0,0,3713.2623973622826,1.000023300746578
